code,kind,name,price,comment,score,province,city,star
mashhad-ferdos,hotel,هتل فردوس,۵۱۰۰۰۰,(۲۵),۳.۶,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-melal,hotel,هتل ملل,۱۸۰۰۰۰,(۱۵),۴.۵,خراسان رضوی,مشهد,(۱ ستاره)
mashhad-sahand,hotel,هتل سهند,۳۱۰۰۰۰,(۳۰),۴.۱,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-sinoor,hotel,هتل سی نور,۴۸۰۰۰۰,(۲۹),۳.۵,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-kiana,hotel,هتل کیانا,۴۳۰۰۰۰,(۱۲),۴.۳,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-arsan,hotel,هتل آرسان,۱۶۰۰۰۰,(۲۸),۴.۶,خراسان رضوی,مشهد,(۱ ستاره)
mashhad-iran,hotel,هتل ایران,۳۷۰۰۰۰,(۱۴),۳.۴,خراسان رضوی,مشهد,(۴ ستاره)
mashhaad-darvishi,hotel,هتل مجلل درویشی,۹۴۰۰۰۰,(۶۷),۴.۴,خراسان رضوی,مشهد,(۵ ستاره)
zanjan-parkhotel,hotel,هتل پارک,۵۰۰۰۰۰,(۵),۳.۵,زنجان,زنجان,(۳ ستاره)
zanjan-bozorg,hotel,هتل بزرگ,۸۰۷۰۰۰,(۵),۳.۳,زنجان,زنجان,(۴ ستاره)
zanjan-jahangardi,hotel,هتل جهانگردی,۵۳۵۰۰۰,(۸),۳.۴,زنجان,زنجان,(۲ ستاره)
semnan-gootkemall,hotel,هتل گوتکه مال,۳۳۳۰۰۰,(۱۶),۳.۵,سمنان,سمنان,(۵ ستاره)
shahrood-parmida,hotel,هتل پارامیدا,۷۴۹۰۰۰,(۱),۱,سمنان,شاهرود,(۴ ستاره)
tehran-espinas,hotel,"هتل اسپیناس خلیج 
فارس",۷۱۵۰۰۰,(۱),۲,تهران,تهران,(۵ ستاره)
